"Number","size","Average fitness","best fitness","best value","best weight"
"1","24","22.291667","35","35","18"
"2","27","22.000000","35","35","18"
"3","32","21.781250","35","35","18"
"4","38","21.868421","35","35","18"
"5","45","21.200000","35","35","18"
"6","54","22.037037","35","35","18"
"7","63","22.253968","35","35","18"
"8","74","21.864865","35","35","18"
"9","87","21.793103","35","35","18"
"10","105","21.447619","35","35","18"
"11","119","22.823529","35","35","18"
"12","119","25.134454","35","35","18"
"13","119","26.873950","35","35","18"
"14","119","27.605042","35","35","18"
"15","116","28.353448","35","35","18"
"16","117","29.393162","35","35","18"
"17","120","29.408333","35","35","18"
"18","115","30.591304","35","35","18"
"19","116","31.068966","35","35","18"
"20","119","31.663866","35","35","18"
"21","119","32.705882","35","35","18"
"22","117","33.581197","35","35","18"
"23","112","33.410714","35","35","18"
"24","118","33.635593","35","35","18"
"25","119","33.655462","35","35","18"
"26","115","34.060870","35","35","18"
"27","119","34.092437","35","35","18"
"28","118","34.483051","35","35","18"
"29","117","34.641026","35","35","18"
"30","118","34.500000","35","35","18"
"31","116","34.663793","35","35","18"
"32","120","34.308333","35","35","18"
"33","119","34.462185","35","35","18"
"34","118","34.550847","35","35","18"
"35","119","34.361345","35","35","18"
"36","118","34.449153","35","35","18"
"37","119","34.378151","35","35","18"
"38","119","34.361345","35","35","18"
"39","119","34.344538","35","35","18"
"40","118","34.483051","35","35","18"
"41","118","34.449153","35","35","18"
"42","119","34.462185","35","35","18"
"43","119","34.411765","35","35","18"
"44","119","34.428571","35","35","18"
"45","119","34.378151","35","35","18"
"46","120","34.258333","35","35","18"
"47","117","34.572650","35","35","18"
"48","116","34.698276","35","35","18"
"49","118","34.567797","35","35","18"
"50","119","34.462185","35","35","18"
"51","118","34.483051","35","35","18"
"52","119","34.445378","35","35","18"
"53","119","34.344538","35","35","18"
"54","118","34.483051","35","35","18"
"55","118","34.483051","35","35","18"
"56","118","34.550847","35","35","18"
"57","120","34.358333","35","35","18"
"58","119","34.445378","35","35","18"
"59","119","34.394958","35","35","18"
"60","118","34.567797","35","35","18"
"61","118","34.483051","35","35","18"
"62","116","34.698276","35","35","18"
"63","118","34.466102","35","35","18"
"64","119","34.310924","35","35","18"
"65","118","34.398305","35","35","18"
"66","118","34.449153","35","35","18"
"67","116","34.715517","35","35","18"
"68","116","34.698276","35","35","18"
"69","117","34.572650","35","35","18"
"70","120","34.291667","35","35","18"
"71","118","34.466102","35","35","18"
"72","117","34.641026","35","35","18"
"73","119","34.478992","35","35","18"
"74","117","34.623932","35","35","18"
"75","118","34.601695","35","35","18"
"76","120","34.341667","35","35","18"
"77","120","34.341667","35","35","18"
"78","119","34.478992","35","35","18"
"79","118","34.601695","35","35","18"
"80","118","34.567797","35","35","18"
"81","118","34.516949","35","35","18"
"82","119","34.462185","35","35","18"
